Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return
2015-01-02,8395.4501953125,8395.4501953125,8410.599609375,8288.7001953125,8288.7001953125,101900,,
2015-01-05,8378.400390625,8378.400390625,8445.599609375,8363.900390625,8407.9501953125,118200,-0.20308386436523884,-0.0020329035926431203
2015-01-06,8127.35009765625,8127.35009765625,8327.849609375,8111.35009765625,8325.2998046875,172800,-2.9963988501869876,-0.030422082918029548
2015-01-07,8102.10009765625,8102.10009765625,8151.2001953125,8065.4501953125,8118.64990234375,164100,-0.31067936900222026,-0.0031116297926513815
2015-01-08,8234.599609375,8234.599609375,8243.5,8167.2998046875,8191.39990234375,143800,1.6353724358093125,0.01622144246054657
2015-01-09,8284.5,8284.5,8303.2998046875,8190.7998046875,8285.4501953125,148000,0.6059844193054609,0.006041557177687999
2015-01-12,8323.0,8323.0,8332.599609375,8245.599609375,8291.349609375,103200,0.4647232784114941,0.004636467736743234
2015-01-13,8299.400390625,8299.400390625,8356.650390625,8267.900390625,8346.150390625,129600,-0.2835469106692301,-0.0028394966643650508
2015-01-14,8277.5498046875,8277.5498046875,8326.4501953125,8236.650390625,8307.25,146100,-0.26327909136885097,-0.0026362628028638235
2015-01-15,8494.150390625,8494.150390625,8527.099609375,8380.5498046875,8424.5,232100,2.6167234392820093,0.025830729950324278
2015-01-16,8513.7998046875,8513.7998046875,8530.75,8452.25,8504.0498046875,176000,0.23132877520259942,0.0023106162211340322
2015-01-19,8550.7001953125,8550.7001953125,8570.9501953125,8531.5,8550.0498046875,125400,0.43341858478611606,0.004324820315931695
2015-01-20,8695.599609375,8695.599609375,8707.900390625,8574.5,8575.099609375,158700,1.6945912118627948,0.01680393189462208
2015-01-21,8729.5,8729.5,8741.849609375,8689.599609375,8719.650390625,185900,0.38985684884169647,0.003890988763950604
2015-01-22,8761.400390625,8761.400390625,8774.150390625,8727.0,8745.849609375,175500,0.36543204794088346,0.003647659672542357
2015-01-23,8835.599609375,8835.599609375,8866.400390625,8795.400390625,8827.9501953125,191200,0.8468876599840858,0.008433216854945564
2015-01-27,8910.5,8910.5,8925.0498046875,8825.4501953125,8871.349609375,192000,0.8477114619988679,0.008441385660836975
2015-01-28,8914.2998046875,8914.2998046875,8985.0498046875,8874.0498046875,8902.75,185100,0.04264412420740271,0.0004263503418490414
2015-01-29,8952.349609375,8952.349609375,8966.650390625,8861.25,8901.5,256300,0.42684008302582566,0.0042593170470792705
