Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Return_5D,Return_10D,Return_20D,Return_60D,Volatility_20D,Volatility_60D,Volatility_120D,Volatility_252D,MA_20D,MA_50D,MA_100D,MA_200D,Price_vs_MA20_pct,Price_vs_MA50_pct,Price_vs_MA200_pct,Volatility_Ratio_20_60,Volatility_Ratio_20_120,Volatility_Ratio_60_252,True_Range,ATR_14D,ATR_14D_pct,Return_Volatility_20D,Return_Volatility_60D,Drawdown_20D_pct,Drawdown_60D_pct,Drawdown_252D_pct,Range_20D_pct,Volume_Change_pct,Volatility_Term_Spread_20_60,Volatility_Term_Spread_60_120,Volatility_Term_Spread_120_252,Short_Long_Volatility_Ratio,Volatility_20D_Percentile,Volatility_60D_Percentile,Volatility_120D_Percentile,Volatility_20D_ZScore,Volatility_Acceleration,Volatility_Momentum_20D,Volatility_of_Volatility_20D,Return_Dispersion_20D,Return_Dispersion_60D,Upside_Volatility_20D,Downside_Volatility_20D,Downside_Volatility_Ratio,Range_Volatility_20D,Range_Volatility_60D,Volatility_Composite,Volatility_Stress_Score,Volatility_Direction,Volatility_Environment,Volatility_Pressure,Trend_Score,Market_Trend,Volatility_Regime_Score,Detected_Volatility_Regime,Market_Regime,Regime_Confidence_Score,Regime_Confidence,Risk_State,Positioning_Environment,Previous_Market_Regime,Regime_Changed,Regime_Duration_Days,Drawdown_Risk,Final_Regime,Trend_Decision_Score,Trend_Signal,Volatility_Decision_Score,Volatility_Signal,Risk_Decision_Score,Risk_Signal,Decision_Confidence_Score,Decision_Confidence,Market_Bias_Score,Market_Bias,Exposure_Guidance,Portfolio_Posture,Volatility_Response,Trend_Response,Drawdown_Response,Final_Decision_Score,Final_Decision,Decision_Reason,Rule_Market_Condition,Rule_Trend_Condition,Rule_Volatility_Condition,Rule_Risk_Condition,Trend_Score_Band,Volatility_Score_Band,Risk_Score_Band,Rule_Confidence_Band,Rule_Market_Bias,Rule_Exposure_Level,Rule_Portfolio_Posture,Trend_Volatility_Combination,Risk_Trend_Combination,Primary_Rule_Action,Positioning_Rule,Volatility_Rule_Action,Trend_Rule_Action,Drawdown_Rule_Action,Rule_Score,Rule_Strength,System_Action,Rule_Priority,Rule_Consistency,Final_Rule_Label
2015-01-19,8550.700195,8550.700195,8570.950195,8531.500000,8550.049805,125400,0.433419,0.004325,2.735795,2.056476,,,,,,,,,,,,,,,,,57.150391,,,,,,,,,-28.750000,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,12,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-20,8695.599609,8695.599609,8707.900391,8574.500000,8575.099609,158700,1.694591,0.016804,4.773829,6.991818,,,,,,,,,,,,,,,,,157.200195,,,,,,,,,26.555024,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,13,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-21,8729.500000,8729.500000,8741.849609,8689.599609,8719.650391,185900,0.389857,0.003891,5.459951,7.743670,,,,,,,,,,,,,,,,,52.250000,119.321359,1.366875,,,,,,,17.139256,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,14,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-22,8761.400391,8761.400391,8774.150391,8727.000000,8745.849609,175500,0.365432,0.003648,3.146283,6.397406,,,,,,,,,,,,,,,,,47.150391,113.982143,1.300958,,,,,,,-5.594406,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,15,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-23,8835.599609,8835.599609,8866.400391,8795.400391,8827.950195,191200,0.846888,0.008433,3.779744,6.652177,,,,,,,,,,,,,,,,,105.000000,115.646484,1.308870,,,,,,,8.945869,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,16,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-27,8910.500000,8910.500000,8925.049805,8825.450195,8871.349609,192000,0.847711,0.008441,4.207840,7.058753,,,,,,,,,,,,,,,,,99.599609,103.685721,1.163635,,,,,,,0.418410,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,17,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-28,8914.299805,8914.299805,8985.049805,8874.049805,8902.750000,185100,0.042644,0.000426,2.515067,7.408962,,,,,,,,,,,,,,,,,111.000000,105.489293,1.183372,,,,,,,-3.593750,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,18,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-29,8952.349609,8952.349609,8966.650391,8861.250000,8901.500000,256300,0.426840,0.004259,2.552834,8.152168,,,,,,,,,,,,,,,,,105.400391,102.917899,1.149619,,,,,,,38.465694,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,19,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-30,8808.900391,8808.900391,8996.599609,8775.099609,8996.599609,267300,-1.602364,-0.016153,0.542151,3.705491,,,,,,,8529.457520,,,,3.276209,,,,,,221.500000,110.703613,1.256725,,,-1.602364,,,10.570552,4.291845,,,,,,,,,,,,,,,,,1.213502,,,,Stable,Low,Neutral,-3.000000,Bearish,0.000000,Low,Low Volatility Bear,30.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,20,Unknown,Low Volatility Bear,39.250000,Negative,65.000000,Positive,30.000000,Negative,37.100000,Low,44.660000,Bearish,Defensive,Defensive,Normal Risk,Trend Negative,Monitor,41.870000,Reduce Exposure,Trend: Bearish; Volatility: Low; Risk: Defensive; Market bias: Bearish; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Bearish,Favorable,High Risk,Low,Neutral,Defensive,Defensive,Bearish / Low Volatility,Neutral / Mixed Risk,Reduce Exposure,Capital Preservation,Normal Volatility Response,Trend Negative,Monitor Drawdown,44.802500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-02-02,8797.400391,8797.400391,8840.799805,8751.099609,8802.500000,210100,-0.130550,-0.001306,-0.432333,3.331069,4.787715,,18.539668,,,,8549.555029,,,,2.898927,,,,,,89.700195,110.896484,1.260560,1.165652,,-1.730822,,,10.584370,-21.399177,,,,,50.000000,,,,,,,18.539668,,,,,1.191884,,50.000000,50.000000,Stable,Normal,Neutral,-1.000000,Neutral,3.000000,Elevated,Elevated Volatility Neutral,35.000000,Low,Elevated Risk,Defensive,Low Volatility Bear,True,1,Unknown,Elevated Volatility Neutral,54.750000,Neutral,50.000000,Neutral,40.000000,Negative,41.950000,Low,49.640000,Neutral,Balanced,Balanced,Monitor Risk,Wait for Confirmation,Monitor,45.830000,Maintain Balanced Exposure,Trend: Neutral; Volatility: Normal; Risk: Elevated Risk; Market bias: Neutral; Confidence: Low; Positioning: Defensive.,Elevated Risk,Neutral Trend,Elevated Volatility,Elevated Risk,Neutral,Neutral,Moderate Risk,Low,Neutral,Balanced,Balanced,Neutral / Elevated Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Defensive,Monitor Risk,Wait for Confirmation,Monitor Drawdown,48.455000,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
