Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Return_5D,Return_10D,Return_20D,Return_60D,Volatility_20D,Volatility_60D,Volatility_120D,Volatility_252D,MA_20D,MA_50D,MA_100D,MA_200D,Price_vs_MA20_pct,Price_vs_MA50_pct,Price_vs_MA200_pct,Volatility_Ratio_20_60,Volatility_Ratio_20_120,Volatility_Ratio_60_252,True_Range,ATR_14D,ATR_14D_pct,Return_Volatility_20D,Return_Volatility_60D,Drawdown_20D_pct,Drawdown_60D_pct,Drawdown_252D_pct,Range_20D_pct,Volume_Change_pct
2015-01-02,8395.4501953125,8395.4501953125,8410.599609375,8288.7001953125,8288.7001953125,101900,,,,,,,,,,,,,,,,,,,,,121.8994140625,,,,,,,,,
2015-01-05,8378.400390625,8378.400390625,8445.599609375,8363.900390625,8407.9501953125,118200,-0.2030838643652388,-0.0020329035926431,,,,,,,,,,,,,,,,,,,81.69921875,,,,,,,,,15.996074582924447
2015-01-06,8127.35009765625,8127.35009765625,8327.849609375,8111.35009765625,8325.2998046875,172800,-2.996398850186988,-0.0304220829180295,,,,,,,,,,,,,,,,,,,267.05029296875,,,,,,,,,46.192893401015226
2015-01-07,8102.10009765625,8102.10009765625,8151.2001953125,8065.4501953125,8118.64990234375,164100,-0.3106793690022202,-0.0031116297926513,,,,,,,,,,,,,,,,,,,85.75,,,,,,,,,-5.034722222222221
2015-01-08,8234.599609375,8234.599609375,8243.5,8167.2998046875,8191.39990234375,143800,1.6353724358093125,0.0162214424605465,,,,,,,,,,,,,,,,,,,141.39990234375,,,,,,,,,-12.370505789152952
2015-01-09,8284.5,8284.5,8303.2998046875,8190.7998046875,8285.4501953125,148000,0.6059844193054609,0.0060415571776879,-1.3215514681326757,,,,,,,,,,,,,,,,,,112.5,,,,,,,,,2.9207232267037586
2015-01-12,8323.0,8323.0,8332.599609375,8245.599609375,8291.349609375,103200,0.4647232784114941,0.0046364677367432,-0.6612287315248211,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,-30.270270270270274
2015-01-13,8299.400390625,8299.400390625,8356.650390625,8267.900390625,8346.150390625,129600,-0.2835469106692301,-0.002839496664365,2.116929760640751,,,,,,,,,,,,,,,,,,88.75,,,,,,,,,25.581395348837212
2015-01-14,8277.5498046875,8277.5498046875,8326.4501953125,8236.650390625,8307.25,146100,-0.2632790913688509,-0.0026362628028638,2.1654843178499306,,,,,,,,,,,,,,,,,,89.7998046875,,,,,,,,,12.731481481481488
2015-01-15,8494.150390625,8494.150390625,8527.099609375,8380.5498046875,8424.5,232100,2.6167234392820093,0.0258307299503242,3.1519538722259766,,,,,,,,,,,,,,,,,,249.5498046875,,,,,,,,,58.86379192334017
2015-01-16,8513.7998046875,8513.7998046875,8530.75,8452.25,8504.0498046875,176000,0.2313287752025994,0.002310616221134,2.7678170642464917,1.4096874690660233,,,,,,,,,,,,,,,,,78.5,,,,,,,,,-24.17061611374408
2015-01-19,8550.7001953125,8550.7001953125,8570.9501953125,8531.5,8550.0498046875,125400,0.433418584786116,0.0043248203159316,2.735794729214236,2.056476136904295,,,,,,,,,,,,,,,,,57.150390625,,,,,,,,,-28.749999999999996
2015-01-20,8695.599609375,8695.599609375,8707.900390625,8574.5,8575.099609375,158700,1.6945912118627948,0.016803931894622,4.773829434684784,6.991817811350609,,,,,,,,,,,,,,,,,157.2001953125,,,,,,,,,26.555023923444978
2015-01-21,8729.5,8729.5,8741.849609375,8689.599609375,8719.650390625,185900,0.3898568488416964,0.0038909887639506,5.45995138629749,7.743670095179911,,,,,,,,,,,,,,,,,52.25,119.32135881696429,1.3668750652037835,,,,,,,17.13925645872716
2015-01-22,8761.400390625,8761.400390625,8774.150390625,8727.0,8745.849609375,175500,0.3654320479408834,0.0036476596725423,3.1462828853956237,6.397406142858997,,,,,,,,,,,,,,,,,47.150390625,113.98214285714286,1.3009580406701613,,,,,,,-5.594405594405593
2015-01-23,8835.599609375,8835.599609375,8866.400390625,8795.400390625,8827.9501953125,191200,0.8468876599840858,0.0084332168549455,3.7797436170665444,6.652177070130971,,,,,,,,,,,,,,,,,105.0,115.646484375,1.308869680471866,,,,,,,8.945868945868952
2015-01-27,8910.5,8910.5,8925.0498046875,8825.4501953125,8871.349609375,192000,0.8477114619988679,0.0084413856608369,4.207840252482975,7.058752853538386,,,,,,,,,,,,,,,,,99.599609375,103.68572126116071,1.163635275923469,,,,,,,0.4184100418409997
2015-01-28,8914.2998046875,8914.2998046875,8985.0498046875,8874.0498046875,8902.75,185100,0.0426441242074027,0.000426350341849,2.515067449480002,7.408961914370216,,,,,,,,,,,,,,,,,111.0,105.48929268973214,1.1833716051849816,,,,,,,-3.5937499999999956
2015-01-29,8952.349609375,8952.349609375,8966.650390625,8861.25,8901.5,256300,0.4268400830258256,0.0042593170470792,2.552833603012772,8.152168463007815,,,,,,,,,,,,,,,,,105.400390625,102.91789899553571,1.1496188541135497,,,,,,,38.4656942193409
2015-01-30,8808.900390625,8808.900390625,8996.599609375,8775.099609375,8996.599609375,267300,-1.602363904552817,-0.0161534056387028,0.5421507736460329,3.705491256045934,,,,,,,8529.45751953125,,,,3.276209189785706,,,,,,221.5,110.70361328125,1.256724544178839,,,-1.602363904552817,,,10.570552200289258,4.29184549356223
2015-02-02,8797.400390625,8797.400390625,8840.7998046875,8751.099609375,8802.5,210100,-0.1305497790875076,-0.0013063506955069,-0.43233306667120885,3.3310694689033804,4.787714606858406,,18.539667824471863,,,,8549.555029296875,,,,2.898927025778897,,,,,,89.7001953125,110.896484375,1.260559704582475,1.1656524007123057,,-1.7308218011027554,,,10.584370072036107,-21.399176954732514
2015-02-03,8756.5498046875,8756.5498046875,8837.2998046875,8726.650390625,8823.150390625,208700,-0.4643483770618517,-0.0046542982322204,-1.7277391315021595,2.407400618347566,4.513384374487872,,18.64469598350808,,,,8568.4625,,,,2.1951114880586875,,,,,,110.6494140625,112.46072823660714,1.284304100873216,1.1723309805375657,,-2.187133135221353,,,10.633747706934106,-0.6663493574488366
2015-02-04,8723.7001953125,8723.7001953125,8792.849609375,8704.400390625,8789.150390625,195300,-0.3751432939651078,-0.0037584872121479,-2.1381332639808126,0.32315869175030265,7.337571170069612,,14.36736061144529,,,,8598.280004882812,,,,1.458666039701706,,,,,,88.44921875,112.3642578125,1.288034381017319,0.9101432361723892,,-2.5540715458995944,,,10.67378971325532,-6.42069956875898
2015-02-05,8711.7001953125,8711.7001953125,8838.4501953125,8683.650390625,8733.099609375,173600,-0.137556309035558,-0.0013765100457609,-2.6881145683864904,-0.20390405736296913,7.523976380304087,,14.2737063668316,,,,8628.760009765625,,,,0.9612063083572542,,,,,,154.7998046875,105.59640066964286,1.2121216100441687,0.9042472294678597,,-2.6881145683864904,,,9.519379525178346,-11.111111111111116
2015-02-06,8661.0498046875,8661.0498046875,8726.2001953125,8645.5498046875,8696.849609375,171300,-0.5814064934449137,-0.0058310324086079,-1.6784227245304373,-1.1453715326704916,5.178760541398897,,13.832614010223729,,,,8650.08251953125,,,,0.12678821423364184,,,,,,80.650390625,105.75,1.2209836265202678,0.8760451380410136,,-3.2538921891795636,,,9.30371978985028,-1.3248847926267238
2015-02-09,8526.349609375,8526.349609375,8605.5498046875,8516.349609375,8584.400390625,146800,-1.555240973670402,-0.0156746171972853,-3.0810326825507106,-3.500045426140297,2.9193024247087918,,15.182297749204988,,,,8662.175,,,,-1.568028706704716,,,,,,144.7001953125,112.00355747767857,1.3136167599147823,0.9599321329701155,,-4.7585272982847755,,,8.912949310856442,-14.302393461762986
2015-02-10,8565.5498046875,8565.5498046875,8646.25,8470.5,8478.099609375,196200,0.4597535534949015,0.0045869991503771,-2.181224389288061,-3.8712776534706284,2.9142112782350127,,15.180925934541989,,,,8674.302490234375,,,,-1.253734068754342,,,,,,175.75,113.32854352678571,1.3230737793943668,0.959846562497375,,-4.320651243137763,,,8.872159243462894,33.65122615803815
2015-02-11,8627.400390625,8627.400390625,8651.9501953125,8593.650390625,8603.2998046875,161600,0.7220854159723844,0.0071949086167784,-1.1038871411381712,-3.218417826957498,3.95209273636814,,15.223872234040167,,,,8690.702490234375,,,,-0.728388754309639,,,,,,86.400390625,115.76785714285714,1.3418625762246614,0.9623820038183769,,-3.6297646196671085,,,8.808553959959966,-17.635066258919473
2015-02-12,8711.5498046875,8711.5498046875,8732.5498046875,8599.25,8676.9501953125,158800,0.9753739278629104,0.0097064786272237,-0.0017263062505379345,-2.689794469547213,5.243097416994447,,15.36180543776352,,,,8712.402490234375,,,,-0.009787031164265603,,,,,,133.2998046875,121.92138671875,1.3995372746781138,0.9709275901061231,,-2.689794469547213,,,7.071644179271256,-1.7326732673267342
2015-02-13,8805.5,8805.5,8822.099609375,8729.650390625,8741.5,221900,1.07845558389561,0.0107268172689105,1.6678139321439023,-0.03860176042652652,3.665459110762126,,13.09485687358107,,,,8727.969970703125,,,,0.8882939510231669,,,,,,110.5498046875,122.31780133928571,1.3891068234544968,0.8242906647488845,,-1.6403471243037426,,,6.18192731105559,39.73551637279598
2015-02-16,8809.349609375,8809.349609375,8870.099609375,8793.400390625,8831.400390625,136400,0.0437182371813005,0.0004370868354434,3.319122637064198,0.13582670129159702,3.471420651972301,,13.102051572656014,,,,8742.7474609375,,,,0.7617988365222317,,,,,,76.69921875,120.68205915178571,1.3699315443600357,0.824783752496533,,-1.597346017968837,,,5.972059603754622,-38.530869761153674
2015-02-18,8869.099609375,8869.099609375,8894.2998046875,8808.900390625,8811.5498046875,147600,0.6782566551384539,0.0067596684272623,3.543844955771336,1.2853213559894439,3.723664808608862,,13.19477194152612,,,,8758.667431640624,,,,1.260833095859315,,,,,,85.3994140625,118.85344587053571,1.340084688471677,0.8306329897475161,,-0.9299234685028357,,,5.93182659510207,8.211143695014655
2015-02-19,8895.2998046875,8895.2998046875,8913.4501953125,8794.4501953125,8883.0498046875,213300,0.2954098664627258,0.0029497438893496,3.1052159623148334,1.9670507414641047,2.2965661286565853,,11.968694418727063,,,,8768.65244140625,,,,1.4443195705101886,,,,,,119.0,119.82484654017857,1.347057987601893,0.7521201271678978,,-0.6372606877166231,,,5.914355006874131,44.512195121951216
2015-02-20,8833.599609375,8833.599609375,8899.9501953125,8816.2998046875,8895.5,197600,-0.6936269340802492,-0.0069604370777794,1.4010113863072604,1.3992608943095952,1.1925036872100447,,12.25374896622947,,,,8773.857421875,,,,0.6809113098994679,,,,,,83.650390625,109.97844587053571,1.2450014799608624,0.770182499287064,,-1.326467410026566,,,5.955665104140065,-7.360525082044067
2015-02-23,8754.9501953125,8754.9501953125,8869.0,8736.099609375,8856.849609375,139600,-0.8903438863023694,-0.0089433113192368,-0.5740708044687959,1.0841686948177998,-0.0736205974492643,,12.646194069402043,,,,8773.534912109375,,,,-0.2118270113819709,,,,,,132.900390625,113.06417410714286,1.2914313797887589,0.7949436487298359,,-2.205001174839971,,,6.0091673583326575,-29.352226720647778
2015-02-24,8762.099609375,8762.099609375,8800.5,8726.75,8772.900390625,149800,0.0816613904477403,0.0008162806567537,-0.536361957410747,2.7649581685084135,-0.8318620495434526,,12.252461085044434,,,,8769.859912109376,,,,-0.08848833176525739,,,,,,73.75,110.42850167410714,1.2602972643218329,0.7700278627028387,,-2.1251404190109846,,,6.004264192706737,7.306590257879653
2015-02-25,8767.25,8767.25,8840.650390625,8751.400390625,8801.900390625,135200,0.0587803249747276,0.000587630561085,-1.1483647028537214,2.3547839883216737,-1.607653891476346,,11.808407618041993,,,,8762.697412109375,,,,0.05195418347248015,,,,,,89.25,110.48570033482143,1.2602093054814387,0.7419108823959603,,-2.067609258480718,,,6.000736940032508,-9.746328437917217
2015-02-26,8683.849609375,8683.849609375,8786.0498046875,8669.4501953125,8779.0,217500,-0.951271956713906,-0.0095582544879628,-2.377100265930032,0.6543015994869172,-2.585174386790534,,12.195254906233084,,,,8751.17490234375,,,,-0.769328618386067,,,,,,116.599609375,107.75711495535714,1.240891077144215,0.7662658389612068,,-2.9992126281442766,,,6.05836850061323,60.87278106508875
2015-02-27,8844.599609375,8844.599609375,8856.9501953125,8717.4501953125,8729.5,249500,1.8511375395821703,0.0183421253958649,0.12452454816183067,1.527280537567588,-1.2035946394135744,,13.9469257508232,,,,8745.78740234375,,,,1.1298263093471705,,,,,,173.1005859375,114.36070033482143,1.293000309630779,0.8785162776302305,,-0.5699661217239971,,,5.948258062664033,14.71264367816092
2015-03-02,8956.75,8956.75,8972.349609375,8885.4501953125,8953.849609375,218100,1.268009809128312,0.0126003788387932,2.3049794708774662,1.7176764522173649,1.6784116384418457,,13.420200890840553,,,,8753.1798828125,,,,2.325670441061378,,,,,,127.75,113.14997209821429,1.2632927356263632,0.8466272762442579,,0.0,,,5.603032454573366,-12.585170340681362
2015-03-03,8996.25,8996.25,9008.400390625,8925.5498046875,8962.849609375,177800,0.4410081781896391,0.0044003858673006,2.6723091617729455,2.1216139546340385,2.2603223741743728,,13.45242884659757,,,,8763.12236328125,,,,2.660326160634119,,,,,,82.8505859375,106.51429966517857,1.1839855458127393,0.8485538280552978,,0.0,,,5.979162324579685,-18.477762494268678
2015-03-04,8922.650390625,8922.650390625,9119.2001953125,8893.9501953125,9109.150390625,248400,-0.8181143184660233,-0.0082147923882021,1.7725100872565624,0.6037905042062475,1.896872508491687,,13.711911267171159,,,,8771.427392578125,,,,1.7240409260507628,,,,,,225.25,116.43212890625,1.3049051997888976,0.8648028482028868,,-0.8181143184660233,,,7.270263508184599,39.70753655793027
